Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
328,O=C1O[C@]([C@]7(O[H])[C@@]16C(=O)C([H])=C5[C@@]4([...,845.0,7.0,16.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
329,O=C3O[C@]([C@]2([H])C(=O)C([H])([H])[C@]1([C@@]%11...,1393.5,11.0,31.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
330,[H][C@]78/C6=C(\[H])C([H])([H])[C@]5([H])[C@@]4([C...,1139.3,8.0,22.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
331,O=C6[C@]([H])(O[C@]5([H])O[C@@]([H])([C@]([H])(O[H...,1257.3,11.0,30.0,0.0,150.0,HIGH_CONFIDENCE_SAPONIN
332,[H][C@]58/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C...,909.1,8.0,17.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
333,[H][C@]59/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C...,1041.2,9.0,21.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
334,[H][C@]5%10/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2(...,1173.3,10.0,25.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
335,[H][C@]59/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C...,1041.2,9.0,21.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
336,O=C(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H...,1757.9,12.0,40.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
337,O=C(O[H])[C@@]%11([H])O[C@@]([H])(O[C@]1([H])C([C@...,1251.4,11.0,27.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
338,O=C(O[H])[C@@]%10([H])O[C@@]([H])(O[C@]1([H])C([C@...,1105.3,10.0,23.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
