Index,SMILES,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,O/C_Ratio,Score,Classification,Description
356,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@@]...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
357,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@]1...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
358,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
359,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
360,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[...,708.9,8,12,0,6,20,6,0.316,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
361,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[...,708.9,8,12,0,6,20,6,0.316,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
362,[H]C4([H])[C@]([H])(O[C@@]1([H])O[C@@]([H])([C@@]([H])(O[H])...,708.9,8,12,0,6,20,6,0.316,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
363,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C...,809.0,7,14,0,7,19,4,0.326,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
364,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C...,779.0,7,13,0,6,18,4,0.310,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
365,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C...,809.0,7,14,0,7,19,4,0.326,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
366,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C(...,809.0,7,14,0,7,19,4,0.326,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
367,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C(...,809.0,7,14,0,7,19,4,0.326,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
368,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C(...,809.0,7,14,0,7,19,4,0.326,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
369,O=C5C([H])=C6[C@@]([C@@]4(C([H])([H])C([H])([H])[C@@]3([H])C...,809.0,7,14,0,7,19,4,0.326,135,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
370,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@]3([H])C([...,779.0,7,13,0,6,18,4,0.310,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
371,O=C5C([H])=C6[C@]([C@@]4(C([H])([H])C([H])([H])[C@]3([H])C([...,779.0,7,13,0,6,18,4,0.310,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
372,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([H])O[C@@](...,2500.7,15,56,0,29,61,20,0.475,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
373,O=C(O[C@@]%13([H])C([H])([H])[C@]%12(C(=O)O[C@]1([H])O[C@@](...,2662.9,16,61,0,32,66,22,0.492,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
374,O=C(O[C@@]%13([H])C([H])([H])[C@]%12(C(=O)O[C@]1([H])O[C@@](...,2320.5,15,54,0,29,59,20,0.505,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
375,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([H])O[C@@](...,1860.0,13,43,0,24,49,16,0.500,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
376,[H]C1([H])[C@]([H])(O[H])C([H])([H])[C@]2([H])[C@](C1([H])[H...,730.9,6,13,0,8,20,4,0.342,130,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
377,[H]C1([H])[C@]([H])(O[H])C([H])([H])[C@]2([H])[C@](C1([H])[H...,716.9,6,13,0,9,20,4,0.351,130,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
